invima,url_cv,precio_cv,precio_fm,url_fm
PFM2016-0002514X60,https://www.cruzverde.com.co/medicamento/bienestarynutricion/urovital-capsulas-cranberry-caja-x-60/COCV_141255.html,54055,50950,https://www.farmatodo.com.co/producto/1061632-urovital-cranberry-caja
2020M-0012915-R1X10,https://www.cruzverde.com.co/bienestar-y-nutricion/vitaminas-y-minerales/vitamina-c-tabletas-masticables-sabor-naranja-500mg-blister-x-10/COCV_110896.html,5130,4400,https://www.farmatodo.com.co/producto/226450549-fraccion-vitamina-c
2023M-0010287-R1X80,https://www.cruzverde.com.co/bienestar-y-nutricion/vitaminas-y-minerales/sulzinc-solucion-oral-2mgml-frasco-x-80ml/COCV_94784.html,19333,18100,https://www.farmatodo.com.co/producto/1039802-sulzinc-2mg-solucion
2021M-0017090-R1X8,https://www.cruzverde.com.co/bienestar-y-nutricion/vitaminas-y-minerales/deferol-vitamina-d3-7000ui-caja-x-8-capsulas-blandas/COCV_140226.html,72533,67950,https://www.farmatodo.com.co/producto/1053723-deferol-7000ui-capsulas
2022M-0012808-R2X300,https://www.cruzverde.com.co/medicamentos/gastricos/gaviscon-doble-accion-52.252.13gr100ml-suspension-frasco-x-300ml/COCV_117793.html,69303,68950,https://www.farmatodo.com.co/producto/1046949-gaviscon-doble-accion
2020M-0013607-R1X60,https://www.cruzverde.com.co/medicamentos/gastricos/lipogras-120mg-caja-x-60-capsulas-duras-con-contenido-liquido/COCV_111976.html,194700,190950,https://www.farmatodo.com.co/producto/1046998-lipogras-120mg-capsulas
2020M-0013607-R1X30,https://www.cruzverde.com.co/medicamentos/gastricos/lipogras-orlistat-capsulas-duras-con-contenido-liquido-120mg-caja-x-30/COCV_111975.html,121600,119300,https://www.farmatodo.com.co/producto/1046164-lipogras-120mg-capsulas
2020M-0015447-R1,https://www.cruzverde.com.co/medicamentos/gastricos/genoprazol-capsulas-20-mg-caja-x-14/COCV_126724.html,21470,13450,https://www.farmatodo.com.co/producto/1049584-capsula-genoprazol-omeprazol-20-mg-x-14-tab
2017M-0012353-R1X16,https://www.cruzverde.com.co/medicamentos/salud-digestiva/alevian-duo-300100mg-caja-x-16-capsulas/COCV_104611.html,146538,137950,https://www.farmatodo.com.co/producto/1041377-alevian-duo-100300mg
2023M-0007266-R2X15,https://www.cruzverde.com.co/medicamentos/salud-visual-y-auditiva/optive-solucion-oftalmica-3.25mg1.75mg9mgml-frasco-x-15-ml/COCV_60151.html,63840,60950,https://www.farmatodo.com.co/producto/1027189-optive-0509
2021M-0004066-R2,https://www.cruzverde.com.co/medicamentos/organosdesentidos/gaap-ofteno-solucion-oftalmica-0.05mgml-frasco-x-3ml/COCV_58535.html,25460,25250,https://www.farmatodo.com.co/producto/1043582-gaap-ofteno-0005
PFM2014-0002289X60,https://www.cruzverde.com.co/medicamentos/salud-digestiva/ciruelax-minitabs-tabletas-recubiertas-75mg-caja-x-60/COCV_139068.html,45220,41355,https://www.farmatodo.com.co/producto/1052229-ciruelax-comprimidos
2023M-0007266-R2X10,https://www.cruzverde.com.co/medicamentos/salud-visual-y-auditiva/optive-solucion-oftalmica-frasco-x-10-ml/COCV_97051.html,44650,42200,https://www.farmatodo.com.co/producto/1036462-optive-gotas-x-10-ml
2016M-0011154-R1,https://www.cruzverde.com.co/medicamentos/alergias/deslodex-d-jarabe-1.25mg10mg5ml-frasco-x-60ml/COCV_86465.html,81938,81300,https://www.farmatodo.com.co/producto/1034685-deslodex-d-12510mg
2021M-0004171-R2,https://www.cruzverde.com.co/medicamentos/alergias/betaduo-suspension-inyectable-jeringa-prellenada-1ml/COCV_55151.html,51965,50300,https://www.farmatodo.com.co/producto/225500444-betaduo-procaps
2017M-002891-R2,https://www.cruzverde.com.co/medicamentos/alergias/alercet-10-mgml1-gotas-frasco-x-1-5ml-uva/COCV_159064.html,85928,84950,https://www.farmatodo.com.co/producto/1012455-alercet-uva-10mg-gotas
2023M-0015242-R1,https://www.cruzverde.com.co/medicamentos/alergias/caladryl-8-locion-topica--fco-x-100-ml/COCV_21247.html,21375,21000,https://www.farmatodo.com.co/producto/1003588-caladryl-clear-gel
